iter	Passed	Remaining
610	62311	39671
611	62387	39552
612	62462	39434
613	62564	39332
614	62679	39238
615	62827	39165
616	62915	39054
617	62997	38940
618	63101	38839
619	63194	38732
620	63382	38682
621	63476	38576
622	63563	38464
623	63683	38373
624	63824	38294
625	63923	38190
626	63999	38073
627	64100	37970
628	64178	37853
629	64274	37748
630	64368	37641
631	64510	37563
632	64606	37457
633	64703	37352
634	64788	37240
635	64873	37128
636	64901	36984
637	64997	36879
638	65029	36737
639	65103	36620
640	65201	36516
641	65383	36460
642	65458	36343
643	65509	36213
644	65598	36104
645	65695	36000
646	65781	35890
647	65871	35782
648	65985	35687
649	66077	35580
650	66154	35465
651	66292	35383
652	66431	35301
653	66528	35196
654	66607	35083
655	66780	35019
656	66914	34933
657	66997	34822
658	67077	34709
659	67146	34590
660	67302	34516
661	67453	34440
662	67543	34331
663	67633	34223
664	67773	34141
665	67876	34040
666	67948	33923
667	68070	33831
668	68234	33760
669	68311	33646
670	68397	33536
671	68496	33432
672	68655	33358
673	68754	33255
674	68837	33143
675	68927	33036
676	69050	32944
677	69163	32847
678	69260	32743
679	69409	32663
680	69522	32566
681	69636	32469
682	69782	32388
683	69917	32301
684	70007	32193
685	70092	32083
686	70188	31978
687	70276	31869
688	70352	31755
689	70449	31651
690	70539	31543
691	70621	31432
692	70712	31325
693	70847	31238
694	70955	31138
695	71049	31033
696	71124	30919
697	71235	30820
698	71309	30706
699	71335	30572
700	71406	30457
701	71513	30357
702	71602	30250
703	71681	30138
704	71794	30041
705	71868	29928
706	71947	29816
707	72035	29709
708	72111	29597
709	72194	29487
710	72270	29375
711	72361	29269
712	72422	29151
713	72529	29052
714	72607	28941
715	72689	28832
716	72792	28731
717	72880	28624
718	73047	28548
719	73170	28455
720	73303	28365
721	73416	28268
722	73518	28166
723	73646	28075
724	73788	27988
725	73894	27888
726	74037	27802
727	74184	27717
728	74283	27614
729	74431	27529
730	74589	27448
731	74702	27350
732	74865	27270
733	74947	27160
734	75048	27058
735	75200	26974
736	75312	26875
737	75430	26778
738	75565	26688
739	75656	26581
740	75778	26486
741	75942	26405
742	76047	26304
743	76152	26203
744	76258	26101
745	76359	25999
746	76445	25891
747	76547	25788
748	76619	25676
749	76719	25573
750	76830	25473
751	76952	25378
752	77088	25286
753	77198	25186
754	77313	25088
755	77418	24987
756	77533	24888
757	77629	24784
758	77717	24676
759	77801	24568
760	77922	24472
761	78006	24364
762	78089	24255
763	78207	24158
764	78315	24057
765	78395	23948
766	78560	23865
767	78705	23775
768	78873	23692
769	79035	23607
770	79121	23500
771	79195	23389
772	79290	23284
773	79403	23184
774	79500	23080
775	79597	22976
776	79688	22870
777	79779	22764
778	79877	22660
779	79973	22556
780	80060	22449
781	80178	22351
782	80262	22243
783	80374	22143
784	80473	22040
785	80560	21933
786	80655	21829
787	80738	21721
788	80839	21618
789	80908	21507
790	80997	21401
791	81102	21299
792	81184	21191
793	81232	21075
794	81299	20963
795	81380	20856
796	81483	20754
797	81572	20648
798	81686	20549
799	81763	20440
800	81845	20333
801	81914	20223
802	81994	20115
803	82089	20011
804	82193	19910
805	82258	19799
806	82327	19689
807	82385	19576
808	82488	19475
809	82563	19366
810	82649	19261
811	82735	19155
812	82834	19052
813	82907	18944
814	82970	18833
815	83055	18728
816	83146	18624
817	83226	18517
818	83307	18411
819	83384	18303
820	83482	18201
821	83583	18099
822	83763	18014
823	83940	17928
824	84087	17836
825	84158	17728
826	84234	17620
827	84308	17513
828	84405	17410
829	84494	17306
830	84612	17207
831	84683	17099
832	84773	16995
833	84840	16886
834	84950	16786
835	85054	16685
836	85094	16571
837	85184	16467
838	85275	16363
839	85337	16254
840	85443	16154
841	85524	16048
842	85604	15943
843	85701	15840
844	85771	15733
845	85851	15627
846	85934	15523
847	86020	15418
848	86106	15314
849	86207	15213
850	86269	15104
851	86356	15000
852	86428	14894
853	86512	14790
854	86594	14685
855	86680	14581
856	86787	14481
857	86872	14377
858	86974	14276
859	87062	14172
860	87135	14067
861	87253	13968
862	87343	13865
863	87422	13760
864	87524	13659
865	87605	13555
866	87699	13453
867	87804	13352
868	87887	13248
869	87967	13144
870	88084	13045
871	88161	12941
872	88248	12837
873	88323	12733
874	88420	12631
875	88497	12526
876	88612	12427
877	88694	12324
878	88768	12219
879	88860	12117
880	88958	12016
881	89038	11912
882	89137	11811
883	89179	11702
884	89243	11596
885	89320	11492
886	89414	11391
887	89490	11287
888	89567	11183
889	89661	11081
890	89767	10981
891	89856	10879
892	89955	10778
893	90044	10676
894	90139	10575
895	90219	10471
896	90336	10373
897	90416	10270
898	90490	10166
899	90588	10065
900	90670	9962
901	90749	9859
902	90863	9760
903	90935	9656
904	91024	9555
905	91133	9455
906	91226	9353
907	91308	9251
908	91414	9151
909	91505	9049
910	91572	8946
911	91658	8844
912	91757	8743
913	91833	8640
914	91951	8541
915	92039	8440
916	92137	8339
917	92205	8236
918	92319	8136
919	92413	8035
920	92494	7933
921	92581	7832
922	92674	7731
923	92751	7628
924	92858	7529
925	92948	7427
926	93034	7326
927	93142	7226
928	93238	7125
929	93324	7024
930	93408	6922
931	93507	6822
932	93600	6721
933	93698	6621
934	93830	6522
935	93880	6419
936	94056	6324
937	94150	6223
938	94237	6121
939	94324	6020
940	94435	5921
941	94532	5820
942	94609	5718
943	94710	5618
944	94800	5517
945	94904	5417
946	95029	5318
947	95125	5217
948	95205	5116
949	95251	5013
950	95317	4911
951	95423	4811
952	95470	4708
953	95562	4607
954	95659	4507
955	95796	4409
956	95907	4309
957	95993	4208
958	96099	4108
959	96188	4007
960	96292	3907
961	96372	3806
962	96475	3706
963	96551	3605
964	96652	3505
965	96729	3404
966	96805	3303
967	96878	3202
968	96984	3102
969	97074	3002
970	97114	2900
971	97162	2798
972	97235	2698
973	97339	2598
974	97415	2497
